Age;Gender;MaritalStatus;ChildrenNumber;HasChildren;CountryCitizen;CountryLive;IsEthnicMinority;LanguageAtHome;EmploymentField;Income;IsUnderEmployed;SchoolDegree;SchoolMajor;HoursLearning;MoneyForLearning;MonthsProgramming
28;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;office and administrative support;32000;1;some college credit- no degree;NA;30;0;1
22;male;NA;NA;NA;United States of America;United States of America;0;English;food and beverage;15000;1;some college credit- no degree;NA;30;20;2
19;male;NA;NA;NA;United States of America;United States of America;0;English;finance;48000;0;high school diploma or equivalent (GED);NA;20;50;24
26;female;NA;NA;NA;United States of America;United States of America;0;English;arts- entertainment- sports- or media;43000;1;bachelor's degree;Cinematography And Film;20;100;3
20;female;NA;NA;NA;United States of America;United States of America;1;Khmer;education;6000;1;some college credit- no degree;NA;25;1300;48
34;male;NA;NA;NA;United States of America;United States of America;0;English;finance;40000;0;bachelor's degree;English;5;0;12
23;male;NA;NA;NA;Singapore;Singapore;0;Mandarin Chinese;software development;32000;0;bachelor's degree;Computer Science;8;400;13
35;male;married or domestic partnership;NA;0;India;United Kingdom;1;Telugu;office and administrative support;40000;0;master's degree (non-professional);Education;NA;0;NA
33;male;NA;NA;NA;United States of America;United States of America;0;English;software development;80000;0;bachelor's degree;Business Administration;5;3000;24
33;male;NA;NA;NA;United States of America;United States of America;0;English;other;80000;1;master's degree (non-professional);Business Administration;20;30;12
57;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;other;20000;1;bachelor's degree;Computer Science;8;400;360
23;male;NA;NA;NA;Bangladesh;Bangladesh;0;Bengali;NA;NA;NA;some college credit- no degree;NA;5;0;12
47;male;NA;NA;NA;Canada;Canada;0;English;health care;90000;1;bachelor's degree;Mechanical Engineering;5;500;36
NA;male;NA;NA;NA;United States of America;United States of America;1;English;software development;NA;0;bachelor's degree;Business Administration;5;300;12
37;male;married or domestic partnership;1;1;Bosnia & Herzegovina;Bosnia & Herzegovina;1;Serbo-Croatian;sales;NA;0;some college credit- no degree;NA;2;0;6
31;female;NA;NA;NA;Russia;Russia;0;Russian;software development;NA;0;professional degree (MBA- MD- JD- etc.);Math;10;NA;108
27;female;NA;NA;NA;United States of America;United States of America;1;English;software development;80000;0;bachelor's degree;Economics;4;600;36
29;male;NA;NA;NA;United States of America;United States of America;0;English;education;17000;1;bachelor's degree;Music;5;0;6
30;male;NA;NA;NA;Canada;Canada;0;English;software development;16000;0;bachelor's degree;Music;2;0;36
30;male;single- never married;NA;0;Croatia;Croatia;0;Serbo-Croatian;NA;NA;NA;some college credit- no degree;NA;20;2000;24
32;female;married or domestic partnership;1;1;United States of America;United States of America;1;English;Oil ;200000;0;master's degree (non-professional);Geology;5;30;12
25;female;NA;NA;NA;India;United States of America;1;Hindi;NA;NA;NA;bachelor's degree;Computer Science;NA;NA;NA
29;female;single- never married;NA;0;Singapore;United States of America;1;English;arts- entertainment- sports- or media;100000;0;bachelor's degree;Computer Science;10;0;90
44;female;married or domestic partnership;NA;0;United States of America;United States of America;0;English;office and administrative support;41000;1;bachelor's degree;Political Science;30;75;2
21;male;NA;NA;NA;India;India;1;Hindi;NA;NA;NA;bachelor's degree;Computer Science;25;0;10
21;male;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;some college credit- no degree;NA;25;0;20
28;male;single- never married;NA;0;South Africa;South Africa;1;English;other;12000;1;high school diploma or equivalent (GED);NA;1;100;12
28;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;software development;60000;0;trade- technical- or vocational training;NA;10;300;18
25;male;NA;NA;NA;United States of America;United States of America;1;English;software development;75000;0;bachelor's degree;Political Science;10;100;6
35;male;married or domestic partnership;1;1;United Kingdom;United Kingdom;0;English;software development;35000;1;master's degree (non-professional);Physics;5;NA;24
24;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;some college credit- no degree;NA;NA;0;20
23;male;NA;NA;NA;Venezuela;Venezuela;0;Spanish;NA;NA;NA;some college credit- no degree;NA;20;0;3
34;male;NA;NA;NA;Spain;United States of America;0;Spanish;NA;NA;NA;bachelor's degree;Information Technology;20;100;24
18;female;NA;NA;NA;United States of America;United States of America;0;English;retail;6000;1;high school diploma or equivalent (GED);NA;10;50;8
33;female;NA;NA;NA;United States of America;United States of America;1;English;health care;40000;1;bachelor's degree;English;15;20;2
28;male;NA;NA;NA;Brazil;Brazil;0;Portuguese;office and administrative support;6500;1;high school diploma or equivalent (GED);NA;7;0;2
33;male;married or domestic partnership;NA;0;New Zealand;United States of America;1;English;Web dev and design;60000;0;high school diploma or equivalent (GED);NA;20;1000;70
26;male;NA;NA;NA;United States of America;United States of America;0;English;finance;29000;0;some college credit- no degree;NA;3;250;8
24;male;NA;NA;NA;South Africa;South Africa;1;English;software development;10000;0;bachelor's degree;Computer Science;10;2000;24
